reg_nom;equip_type_name
Auvergne-Rhône-Alpes;42887
Occitanie;39397
Nouvelle-Aquitaine;36204
Grand Est;31932
Île-de-France;29987
Hauts-de-France;26594
Pays de la Loire;23450
Provence-Alpes-Côte d'Azur;21828
Bretagne;19107
Bourgogne-Franche-Comté;17713
Centre-Val de Loire;16656
Normandie;16631
La Réunion;3074
Corse;1367
Guadeloupe;1210
Nouvelle-Calédonie;1210
Martinique;1194
Polynésie française;1015
Guyane;993
Mayotte;426
Wallis-et-Futuna;68
Saint-Pierre-et-Miquelon;42
Saint-Martin;27
Saint-Barthélemy;16
