equip_type_name;count
Court de tennis;5265
Multisports/City-stades;2662
Salle multisports (gymnase);2580
Terrain de football;2383
Salles polyvalentes / des fêtes / non spécialisées;1552
Salle de musculation/cardiotraining;1465
Terrain de pétanque;1233
Dojo / Salle d'arts martiaux;1076
Salle de danse;980
Terrain de basket-ball;825
Carrière;645
Salle de cours collectifs;602
Manège;529
Piste d'athlétisme isolée;465
Salle de gymnastique sportive;402
Structure Artificielle d'Escalade;398
Bassin sportif de natation;395
Mur de tennis;378
Stade d’athlétisme;349
Bassin ludique de natation;301
Terrain de handball;294
Salle de tennis de table;292
Pas de tir à l'arc;271
Skatepark;263
Terrain de rugby;259
Salle ou terrain de squash;254
Site de blocs d'escalade;241
Pas de tir à la cible;209
Aire de saut;206
Boucle de randonnée;204
Carrière de dressage/rond de longe;195
Salle de boxe;186
Practice;169
Parcours sportif/santé;167
Terrain de soccer;152
Terrain de volley-ball;124
Salle d'escrime;114
Salle de billard;113
Terrain mixte;103
Parc Mobil'Ludique;93
Terrain de boules;91
Site d'activités aquatiques et nautiques;83
Aire de lancer;77
Terrain de beach-volley;71
Parcours 18 trous;62
Parcours Acrobatique en Hauteur/Site d'accrobranche;62
Piste de bicross;52
Parcours 9 trous;51
Piste de padel;42
Bowling;42
Parcours d'obstacles;40
Piste d’aérodrome / d'aéroport;39
Salle ou terrain de badminton;38
Parcours de cross;37
Salle de culturisme;34
Piste de kart;32
Site de pêche;31
Parcours fixe de course d’orientation;30
Salle de lutte;28
Site d'aéromodélisme;27
Bassin d'exercices aquatiques;25
Bassin mixte de natation;25
Terrain de baseball /softball;23
Anneau de Roller;21
Stade de ski nautique;21
Terrain de foot 5x5;20
Parcours d'initiation;20
Pas de tir aux plateaux;20
Salle de basket;20
Aire de sports de glace sportive;19
Stade d’aviron;19
Bassin de réception de toboggan;19
Piste de course sur le plat;19
Piste d'athlétisme 2 à 4 couloirs;19
Point d'embarquement et de débarquement isolé;19
Terrain de boules traditionnelles;18
Fosse à plongeon;15
Circuit de motocross;15
Salle d'haltérophilie;15
Salle ou terrain de paintball;14
Site de modélisme automobile;14
Port de plaisance;13
Piste ULM;12
Terrain de hockey sur gazon;12
Fosse à plongée;11
Salle de blocs artificiels d'escalade;9
Aire mixte (décollage et atterissage);9
Salle ou terrain de jorkyball;9
Aire de fitness/street workout;8
Circuit de vitesse;7
Mur ou fronton mixte;7
Terrain de football américain;7
Relais rando-vélo;7
Salle de volley-ball;7
Site de spéléologie sportive et/ou éducative;7
Baignade aménagée;5
Salle de handball;5
Tank à ramer;5
Stade d’eau vive;5
Stade de canoë-kayak de vitesse;5
Stade mixte;4
Trinquet;4
Terrain de kayak polo;4
Vélodrome;4
Terrain de cricket;4
Aire de sports de glace ludique;4
Blocs artificiels d'escalade;4
Site de modèle réduit (motonautisme);3
Fronton place libre;3
Salle de trampoline;3
Simulateur de chute libre;2
Site de voile radio commandée;2
Terrain de polo;2
Mur à gauche;2
Terrain de handball 4x4;2
Espace de vélo-freestyle;2
Terrain de cyclocross;2
Parcours de chasse / en campagne;2
Anneau / piste de cyclisme;2
Terrain de basket-ball 3x3;2
Swingolf;1
Site de char à voile;1
Salle de patinage sur roulette;1
Courses sur piste;1
Site d'escalade en falaise;1
Salle de raquetball;1
Terrain de ballon au poing/long paume;1
Site de plongée;1
Espace trial;1
Equipement pour saut à l’élastique;1
Terrain de polo-vélo;1
Piste de luge;1
Salle de spectacle / Zenith;1
Mini terrain de rugby à 5;1
Aire de décollage;1
Circuit de motonautisme;1
Terrain de quilles;1
